time;X;Y;Z;Roll;Pitch;yaw
501.9960938;0;0;600;-1.396264195;-1.008823156;-27.04182801
502.0061035;0;0;600;-1.387385488;-1.012574434;-27.0532608
502.0161133;0;0;600;-1.376444817;-1.020867825;-26.92853033
502.026123;0;0;600;-1.367938995;-1.032937288;-26.83527343
502.0561523;0;0;600;-1.336158752;-1.07856977;-26.69682108
502.0661621;0;0;600;-1.323178768;-1.092283607;-26.44613561
502.0761719;0;0;600;-1.309452057;-1.104760885;-26.18817159
502.0861816;0;0;600;-1.295262098;-1.116282105;-26.0532648
502.0961914;0;0;600;-1.279741287;-1.126885414;-25.97425497
502.1062012;0;0;600;-1.263301969;-1.137195826;-25.77277768
502.1162109;0;0;600;-1.246073604;-1.147419214;-25.69427161
502.1262207;0;0;600;-1.229132533;-1.159743547;-25.62745437
502.1362305;0;0;600;-1.211718082;-1.172147751;-25.53573598
502.1462402;0;0;600;-1.195162058;-1.184476256;-25.45646666
502.15625;0;0;600;-1.176555634;-1.195297599;-25.38964904
502.1662598;0;0;600;-1.159643531;-1.204678297;-25.38100961
502.1762695;0;0;600;-1.141721845;-1.212700009;-25.31698635
502.1862793;0;0;600;-1.122504354;-1.21890974;-25.31266671
502.1962891;0;0;600;-1.105406046;-1.225469232;-25.38253412
502.2062988;0;0;600;-1.089058518;-1.231440306;-25.44274811
502.2163086;0;0;600;-1.072489381;-1.236929774;-25.5222714
502.2263184;0;0;600;-1.054163575;-1.243928075;-25.60509501
502.2363281;0;0;600;-1.035469055;-1.253970742;-25.55860057
502.2463379;0;0;600;-1.018052697;-1.265788555;-25.53446657
502.2563477;0;0;600;-0.999235034;-1.278529882;-25.46408919
502.2663574;0;0;600;-0.98203373;-1.290954471;-25.51439389
502.2763672;0;0;600;-0.96397841;-1.301630735;-25.51769783
502.286377;0;0;600;-0.944756567;-1.311487675;-25.47018722
502.2963867;0;0;600;-0.930379331;-1.322957635;-25.47247398
502.3063965;0;0;600;-0.912764609;-1.335825443;-25.46281907
502.3164063;0;0;600;-0.89950943;-1.348393083;-25.36652381
502.326416;0;0;600;-0.883244157;-1.357756972;-25.28726848
502.3364258;0;0;600;-0.864865124;-1.363388419;-25.15260198
502.3464355;0;0;600;-0.847518563;-1.365796685;-24.9526564
502.3564453;0;0;600;-0.823285043;-1.366455078;-24.97196719
502.3664551;0;0;600;-0.802214682;-1.367001414;-24.90006793
502.3764648;0;0;600;-0.778070629;-1.368946552;-24.83375292
502.3864746;0;0;600;-0.755132854;-1.371635795;-24.67927111
502.3964844;0;0;600;-0.732835114;-1.374846458;-24.60129073
502.4064941;0;0;600;-0.708032191;-1.377655745;-24.46256668
502.4165039;0;0;600;-0.685653806;-1.381635189;-24.24939808
502.4265137;0;0;600;-0.660423219;-1.386151552;-24.11044177
502.4365234;0;0;600;-0.6366238;-1.388934612;-24.08147016
502.4465332;0;0;600;-0.614236057;-1.390448332;-23.96204681
502.456543;0;0;600;-0.595679939;-1.389103651;-23.88786989
502.4665527;0;0;600;-0.581349015;-1.386295795;-23.83985694
502.4765625;0;0;600;-0.57269305;-1.382881284;-23.76997313
502.4865723;0;0;600;-0.568121493;-1.377789736;-23.63406861
502.496582;0;0;600;-0.567859828;-1.369992852;-23.77049491
502.5065918;0;0;600;-0.570453823;-1.357947588;-23.98720241
502.5166016;0;0;600;-0.577081501;-1.342819333;-24.07689464
502.5466309;0;0;600;-0.616826832;-1.297280908;-24.11120102
502.5566406;0;0;600;-0.637272716;-1.288253546;-24.20452025
502.5666504;0;0;600;-0.662237167;-1.281708956;-24.49863632
502.5766602;0;0;600;-0.687853336;-1.275368333;-24.78954624
502.5866699;0;0;600;-0.71753341;-1.268537998;-24.9168415
502.5966797;0;0;600;-0.74406755;-1.26043427;-24.74177048
502.6066895;0;0;600;-0.771200418;-1.253005028;-24.68208156
502.6166992;0;0;600;-0.797422588;-1.247803211;-24.70342065
502.626709;0;0;600;-0.824525476;-1.244158268;-24.89651039
502.6367188;0;0;600;-0.852946281;-1.241952538;-25.03726348
502.6467285;0;0;600;-0.881041229;-1.240288496;-25.17444904
502.6567383;0;0;600;-0.911260903;-1.23971951;-25.23873842
502.666748;0;0;600;-0.939408302;-1.239940286;-25.24381107
502.6767578;0;0;600;-0.968830228;-1.241550684;-25.30275633
502.6867676;0;0;600;-0.995246291;-1.243150353;-25.29869728
502.6967773;0;0;600;-1.0224154;-1.243291974;-25.36042678
502.7067871;0;0;600;-1.045327187;-1.241448045;-25.56723978
502.7167969;0;0;600;-1.070290089;-1.237107635;-25.6912226
502.7268066;0;0;600;-1.093616962;-1.231335521;-25.91760075
